,sgfFile,PB,PW,turnNumber,nextMove,nextMoveColor,scoreLead,scoreLead,nextScoreGain,nextWinrateGain,move,pv,prior,humanPrior
40,Test/66940466-208-Бобер Кармаль-seahorse1 (7).sgf,seahorse1,Бобер Кармаль,189,P1,B,16.4932165,16.7017543,-75.9976132,-0.9898825410600001,M8,"['M8', 'P1', 'Q4']",0.355596006,0.12008159600000001
41,Test/66940466-208-Бобер Кармаль-seahorse1 (7).sgf,seahorse1,Бобер Кармаль,195,Q4,B,18.9218153,19.0692274,-81.6798079,-0.976144459,M8,"['M8', 'E16', 'E15', 'B9']",0.35648632,0.25561142
42,Test/66942690-048-olimar-seahorse1 (1).sgf,seahorse1,olimar,44,H17,B,2.13626875,2.21215466,-24.011307849999998,-0.6926293998199999,J15,"['J15', 'G16', 'J16', 'F17', 'H13', 'J13', 'H12', 'J14']",0.998190224,0.9445711370000001
43,Test/66942690-048-olimar-seahorse1.sgf,seahorse1,olimar,44,H17,B,2.27910415,2.43122267,-24.057321950000002,-0.69948250755,J15,"['J15', 'G16', 'J16', 'F17', 'H13', 'D11', 'E11', 'G11']",0.998190224,0.9283845420000001
44,Test/66945951-163-seahorse1-8899go.sgf,8899go,seahorse1,10,D16,B,-1.43247918,-1.43312741,-5.5710497,-0.2883587271,D15,"['D15', 'G16', 'F14', 'G15', 'R6', 'Q6', 'Q7', 'P6', 'R4', 'Q3']",0.959752142,0.233400986
45,Test/66947329-173-seahorse1-laowantong9999.sgf,laowantong9999,seahorse1,44,F6,B,9.19747286,9.34410842,-6.0322569,-0.163389271999999,B6,"['B6', 'F6', 'E5', 'B5', 'B7', 'F5', 'A4']",0.493727744,0.142353371
46,Test/66947329-173-seahorse1-laowantong9999.sgf,laowantong9999,seahorse1,54,E4,B,8.64206468,8.77962291,-9.9101993,-0.550309888,E5,"['E5', 'E9', 'D11', 'G5', 'G6']",0.657879055,0.382490009
47,Test/66947329-173-seahorse1-laowantong9999.sgf,laowantong9999,seahorse1,149,K3,W,11.738715599999999,11.3121924,-9.7687988,-0.109170813,Q5,"['Q5', 'S4', 'L6', 'M7', 'Q7', 'N8', 'H2', 'H3', 'J2']",0.6035813090000001,0.10369138400000001
48,Test/66949870-270-IllIllIll-seahorse1.sgf,seahorse1,IllIllIll,51,M7,B,5.90201382,5.87303731,-3.05527766,-0.16611782100000003,M6,"['M6', 'R5', 'Q6', 'O8', 'R10', 'L8', 'R2']",0.9141300920000001,0.575706124
49,Test/66977375-094-Teo010403-seahorse1 (1).sgf,seahorse1,Teo010403,64,L3,B,11.3236399,11.6997654,-8.50379073,-0.22761504500000002,M10,"['M10', 'L9', 'H5', 'J6', 'J5', 'K5']",0.276144594,0.10264957
50,Test/66977375-094-Teo010403-seahorse1 (1).sgf,seahorse1,Teo010403,86,H7,B,-0.9870997910000001,-0.0463143051,-8.225943079,-0.292345930999999,H8,"['H8', 'J9', 'S7', 'R7', 'H7', 'M4', 'K1']",0.43873530600000005,0.14141409100000002
51,Test/66977375-094-Teo010403-seahorse1 (1).sgf,seahorse1,Teo010403,90,G4,B,-9.92424835,-5.59181368,-32.84422535,-0.13899292043,J9,"['J9', 'G4', 'R10', 'S10', 'S7', 'R7', 'S9', 'R9', 'S11']",0.6435318590000001,0.740881562
52,Test/66978320-110-seahorse1-Daniul.sgf,Daniul,seahorse1,74,D10,B,-3.7566734999999998,-3.74857744,-5.358085150000001,-0.11235466050000001,F10,"['F10', 'E11', 'F11', 'E12', 'Q7', 'L5', 'F12', 'E13']",0.7528605460000001,0.570699751
53,Test/66978320-110-seahorse1-Daniul.sgf,Daniul,seahorse1,96,S10,B,-3.17172827,-2.35706188,-3.52154532,-0.16635995150000002,S13,"['S13', 'Q11', 'R10', 'S10', 'Q10', 'Q9', 'P10', 'P9', 'O9', 'O10', 'P11']",0.48509994100000003,0.30058825
54,Test/66978320-110-seahorse1-Daniul.sgf,Daniul,seahorse1,99,Q10,W,-3.75540897,-3.74105674,-3.324457503,-0.28101743500000004,S13,"['S13', 'Q10', 'P12', 'N16', 'L17', 'P11', 'Q12']",0.801431596,0.729725599
55,Test/__go4go_20240812_Ichiriki-Ryo_Xie-Ke.sgf,Ichiriki Ryo,Xie Ke,101,H12,W,-7.34903734,-8.21045861,-5.97699421,-0.18065592500000002,L8,"['L8', 'O10', 'M9', 'O9', 'N8', 'P8']",0.305353731,0.11076165
56,Test/__go4go_20240812_Ichiriki-Ryo_Xie-Ke.sgf,Ichiriki Ryo,Xie Ke,135,D9,W,-17.1120908,-17.9437887,-31.020840200000002,-0.5160271280000001,F9,"['F9', 'G11', 'F15', 'C10', 'D10', 'E10', 'D9', 'D8', 'C9']",0.58896023,0.839378417
